@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
51,1316,63,178,1
100,193,5,61,1
25,357,8,19,1
55,467,5,52,1
30,1094,4,205,1
29,1221,6,128,1
120,749,1,79,1
45,208,0,104,0
35,323,19,61,1
26,571,15,101,0
5,729,4,90,0
67,709,11,129,1
182,959,5,78,0
279,1160,12,205,1
37,48,1,29,1
140,1171,0,209,1
65,906,0,142,1
160,1161,30,206,1
14,1167,5,169,0
73,1134,34,192,0
41,793,9,149,0
51,252,8,42,1
70,1191,4,178,1
113,1106,17,71,1
16,1138,1,192,1
295,1374,2,237,0
30,1230,5,183,1
65,604,0,62,0
18,1193,0,150,0
136,402,0,76,1
88,936,24,154,1
149,862,0,84,1
48,720,1,69,1
46,113,0,56,1
58,706,11,117,1
48,517,7,100,1
1238,348,5,70,1
59,630,2,136,1
35,797,0,69,0
65,1168,3,206,1
235,128,0,60,1
41,975,0,155,1
116,893,0,92,1
75,832,5,95,1
129,1224,0,148,1
28,760,0,84,1
127,405,2,39,1
148,758,0,84,1
29,792,12,146,1
12,780,30,163,0
98,503,0,99,1
97,741,0,69,1
121,932,13,132,1
39,575,17,103,1
17,1185,16,157,1
69,834,6,69,0
72,881,0,85,1
46,264,2,20,1
36,854,5,151,1
65,237,13,44,1
56,595,21,131,0
197,1059,2,186,1
39,339,2,46,1
54,324,8,62,1
24,1220,2,73,1
5,1234,0,148,1
98,213,0,64,0
25,1046,11,104,0
32,365,2,69,1
122,588,19,134,1
78,117,4,30,1
122,851,2,135,0
7,1201,6,235,0
57,163,0,61,1
28,248,1,40,1
23,238,19,123,1
308,586,3,52,1
23,543,1,61,0
53,1383,1,241,0
59,181,1,22,1
17,212,2,41,0
37,239,0,105,0
8,1018,0,137,1
22,794,3,90,0
54,361,0,20,1
81,798,5,115,1
72,247,8,40,1
150,797,4,98,0
36,972,11,155,1
7,187,25,79,0
78,102,2,31,1
14,873,1,82,1
10,873,1,82,1
7,876,5,161,0
52,1131,11,227,1
97,1193,0,75,1
68,1264,5,227,0
4,213,14,46,1
51,1156,19,176,0
70,867,1,145,1
380,127,9,30,1
8,959,10,160,0
11,1137,2,186,0
21,650,0,131,0
27,328,11,101,0
13,696,9,101,1
23,371,1,58,1
24,1193,21,207,0
21,904,0,115,0
57,1455,2,253,1
200,744,10,119,1
7,1229,9,148,1
62,1120,2,113,0
50,206,42,102,1
175,1214,1,99,1
100,791,1,146,0
27,1322,1,227,0
25,229,3,82,1
38,759,7,78,0
284,558,3,104,1
66,1514,1,269,1
700,708,0,116,1
58,1004,7,154,1
14,854,18,147,0
310,89,2,26,1
19,1389,15,243,0
65,677,0,134,1
21,0,1,23,0
16,1121,10,122,1
62,210,0,34,1
70,1425,1,255,0
106,963,0,106,1
185,1207,0,198,1
50,539,0,62,1
124,1166,6,214,1
26,220,3,66,1
51,1230,4,223,0
68,713,2,66,0
5,298,8,23,1
7,918,0,160,1
19,972,7,134,1
208,315,20,76,1
49,413,5,40,0
81,326,1,100,0
49,1235,4,191,0
22,324,10,82,1
114,603,2,127,0
24,141,3,47,1
112,884,0,87,1
117,935,30,172,1
39,1168,17,169,1
82,1323,13,125,1
20,1192,1,178,1
81,763,2,84,1
60,601,23,131,1
46,1416,4,252,0
70,541,13,60,1
66,405,7,39,1
45,506,0,56,1
63,718,0,80,1
59,1372,51,163,1
553,757,1,65,0
11,1249,0,184,0
88,902,3,137,1
34,956,18,150,1
185,569,0,61,1
6,308,23,107,0
12,1242,8,189,0
96,1265,0,107,1
12,290,1,33,0
15,1020,13,104,0
93,338,2,121,1
65,0,1,17,1
43,194,0,60,0
64,1280,3,110,0
59,295,0,54,0
113,332,8,76,1
136,1126,16,178,1
8,582,0,76,1
7,850,0,93,0
12,200,39,98,1
64,866,0,149,1
49,1437,4,262,1
21,830,0,133,1
34,343,11,74,0
64,603,0,59,1
